"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"기아 더 뉴 K3 2세대(21년~현재) 1.6 가솔린 프레스티지",3664,156호3608,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240223/AT17639693148268i_M.jpg,89904,930,"기아 더 뉴 K3 2세대(21년~현재) 1.6 가솔린 프레스티지",기타,2022,"오토허브 경매장",,DC
"현대 더뉴 싼타페(20년~현재) 디젤 2.2 2WD 프리미엄 초이스",3665,159하9965,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240021/AT1763965874507x6_M.jpg,96606,2150,"현대 더뉴 싼타페(20년~현재) 디젤 2.2 2WD 프리미엄 초이스",흰색,2021,"오토허브 경매장",,CB
"르노삼성 더 뉴 QM6 (19년~현재) 가솔린 2WD 2.0 GDe LE 시그니처",3666,126호3399,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240030/AT1763967826796sx_M.jpg,148364,1080,"르노삼성 더 뉴 QM6 (19년~현재) 가솔린 2WD 2.0 GDe LE 시그니처",기타,2022,"오토허브 경매장",,AB
"현대 LF 쏘나타 (14년~현재) LPI 스마트",3667,195머8936,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240191/AT176396544444884_M.jpg,102063,710,"현대 LF 쏘나타 (14년~현재) LPI 스마트",흰색,2016,"오토허브 경매장",,AD
"현대 쏘나타(DN8) (19년~현재) LPG 2.0 렌터카용 스타일",3668,244무1714,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240249/AT1763969390491t0_M.jpg,153266,850,"현대 쏘나타(DN8) (19년~현재) LPG 2.0 렌터카용 스타일",기타,2021,"오토허브 경매장",,AD
"기아 더 뉴 모닝 (15년~16년) 럭셔리",3669,54마0511,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240178/AT176397275127166_M.jpg,180355,320,"기아 더 뉴 모닝 (15년~16년) 럭셔리",기타,2016,"오토허브 경매장",,BC
"기아 올 뉴 K3(18년~현재) 가솔린 1600cc 프레스티지",3670,62무1833,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240250/AT176397011292456_M.jpg,33985,1220,"기아 올 뉴 K3(18년~현재) 가솔린 1600cc 프레스티지",기타,2019,"오토허브 경매장",,AB
"현대 싼타페(DM) (12년~15년) 2WD (2.0 e-VGT) 프리미엄",3671,35오9294,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240192/AT1763965543012n8_M.jpg,211621,650,"현대 싼타페(DM) (12년~15년) 2WD (2.0 e-VGT) 프리미엄",기타,2013,"오토허브 경매장",,CC
"기아 스포티지R (10년~13년) 디젤 2WD TLX 최고급형",3672,33도6202,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240252/AT176396974193444_M.jpg,180975,410,"기아 스포티지R (10년~13년) 디젤 2WD TLX 최고급형",기타,2011,"오토허브 경매장",,AC
"현대 그랜져 HG (11년~16년) HG240 럭셔리",3673,46보8046,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240179/AT1763972330105qt_M.jpg,209444,200,"현대 그랜져 HG (11년~16년) HG240 럭셔리",기타,2012,"오토허브 경매장",,BC
